음식명,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g)
홍합미역국,650.00 ,168.88 ,14.13 ,0.00 ,6.43 ,19.99 ,289.38 ,226.28 ,2066.27 ,1549.68 ,-,11.10 ,3.01 ,79.63 ,0.00 
황태해장국,600.00 ,184.22 ,6.39 ,0.00 ,7.22 ,25.21 ,156.40 ,314.21 ,1526.82 ,661.33 ,-,2.19 ,1.00 ,91.61 ,0.00 
근대된장국,450.00 ,109.26 ,8.14 ,0.00 ,3.21 ,15.31 ,621.10 ,436.37 ,1453.19 ,1211.00 ,-,6.12 ,2.37 ,112.86 ,0.00 
미소된장국,150.00 ,37.97 ,1.70 ,0.00 ,1.75 ,4.14 ,98.58 ,88.75 ,511.98 ,156.73 ,-,1.38 ,0.54 ,15.68 ,0.00 
배추된장국,700.00 ,121.53 ,11.04 ,0.00 ,3.63 ,13.96 ,103.80 ,172.07 ,2321.48 ,771.84 ,-,3.53 ,4.54 ,25.97 ,0.00 
뼈다귀해장국 ,1000.00 ,715.98 ,29.71 ,0.00 ,45.37 ,53.63 ,239.71 ,412.34 ,3093.60 ,1676.56 ,-,5.57 ,5.22 ,216.24 ,0.00 
선지(해장)국,1000.00 ,314.42 ,22.29 ,0.00 ,5.03 ,48.10 ,84.31 ,105.25 ,3053.19 ,684.10 ,-,106.24 ,13.76 ,149.60 ,0.00 
콩나물국,400.00 ,22.53 ,1.26 ,0.00 ,1.42 ,1.82 ,33.49 ,44.86 ,752.43 ,82.80 ,8.52 ,0.48 ,0.25 ,7.41 ,0.00 
시금치된장국,400.00 ,121.45 ,9.90 ,0.00 ,3.39 ,16.69 ,624.97 ,444.76 ,1381.25 ,1324.58 ,-,7.28 ,2.60 ,117.04 ,0.00 
시래기된장국,450.00 ,99.12 ,10.68 ,0.00 ,2.54 ,10.02 ,392.83 ,223.42 ,1535.63 ,484.55 ,-,4.40 ,1.98 ,37.62 ,0.00 
쑥된장국,450.00 ,117.32 ,17.17 ,0.00 ,2.55 ,13.21 ,502.74 ,317.04 ,1799.60 ,1434.72 ,-,5.95 ,1.83 ,68.97 ,0.00 
아욱된장국,450.00 ,103.53 ,9.96 ,0.00 ,2.94 ,12.00 ,292.99 ,262.60 ,1462.13 ,850.83 ,-,4.14 ,1.82 ,37.62 ,0.00 
우거지된장국,450.00 ,85.97 ,13.72 ,0.00 ,1.81 ,6.44 ,89.30 ,122.06 ,1593.99 ,611.84 ,-,1.51 ,1.44 ,0.00 ,0.00 
우거지해장국,600.00 ,158.50 ,14.86 ,0.00 ,5.73 ,14.19 ,103.79 ,237.17 ,1972.09 ,664.72 ,-,3.24 ,2.45 ,13.26 ,0.00 
우렁된장국,500.00 ,245.28 ,21.19 ,0.00 ,7.05 ,24.72 ,2105.30 ,270.93 ,2150.43 ,745.05 ,-,11.11 ,5.04 ,22.95 ,0.00 
갈비탕,600.00 ,240.40 ,8.21 ,0.00 ,14.33 ,18.67 ,55.31 ,204.57 ,1688.43 ,556.91 ,-,2.64 ,4.06 ,189.84 ,0.00 
감자탕,900.00 ,963.71 ,49.64 ,0.90 ,58.28 ,60.55 ,628.48 ,767.84 ,2439.38 ,2414.90 ,-,6.69 ,8.08 ,143.69 ,0.00 
곰탕,300.00 ,181.42 ,15.50 ,0.00 ,5.44 ,16.59 ,43.10 ,148.34 ,713.64 ,425.65 ,-,3.89 ,1.97 ,33.66 ,0.00 
매운탕,600.00 ,402.79 ,18.83 ,1.55 ,21.56 ,37.16 ,118.30 ,437.09 ,2130.95 ,1522.50 ,-,3.33 ,2.62 ,148.77 ,0.00 
꼬리곰탕,700.00 ,750.69 ,10.93 ,0.00 ,52.80 ,54.87 ,96.77 ,552.81 ,764.73 ,817.96 ,-,6.39 ,12.24 ,361.23 ,0.00 
꽃게탕,600.00 ,240.65 ,20.77 ,0.00 ,5.49 ,31.70 ,273.97 ,443.04 ,2268.86 ,1369.60 ,-,8.64 ,8.32 ,207.90 ,0.00 
낙지탕,600.00 ,186.10 ,11.77 ,0.00 ,2.73 ,29.21 ,102.32 ,375.39 ,1711.12 ,910.30 ,-,3.26 ,4.49 ,249.60 ,0.00 
내장탕,700.00 ,549.81 ,13.70 ,0.00 ,31.51 ,56.97 ,268.48 ,559.43 ,2383.07 ,1241.55 ,-,12.92 ,14.23 ,467.04 ,0.00 
닭곰탕,650.00 ,527.70 ,15.39 ,0.00 ,24.14 ,58.88 ,119.61 ,757.38 ,1005.19 ,1691.63 ,-,11.65 ,6.83 ,230.49 ,0.00 
닭볶음탕,300.00 ,371.81 ,19.17 ,2.02 ,17.32 ,33.85 ,39.84 ,352.90 ,1030.46 ,638.99 ,-,2.74 ,4.17 ,119.25 ,0.00 
지리탕,600.00 ,260.59 ,10.52 ,0.00 ,8.36 ,38.34 ,199.84 ,475.82 ,1685.16 ,1581.45 ,-,2.58 ,1.87 ,154.15 ,0.00 
도가니탕,800.00 ,563.65 ,5.58 ,0.00 ,34.77 ,54.60 ,59.71 ,506.07 ,599.27 ,725.61 ,-,5.44 ,13.28 ,192.64 ,0.00 
삼계탕,1000.00 ,881.32 ,44.08 ,0.00 ,40.57 ,76.65 ,58.97 ,742.37 ,1211.32 ,439.92 ,-,5.27 ,9.61 ,285.00 ,0.00 
설렁탕,600.00 ,422.76 ,10.94 ,0.00 ,18.20 ,52.71 ,86.91 ,449.85 ,725.16 ,432.48 ,-,4.10 ,22.22 ,219.36 ,0.00 
알탕,700.00 ,424.13 ,49.52 ,14.85 ,6.98 ,49.21 ,114.43 ,790.97 ,2393.29 ,1469.80 ,-,7.34 ,3.95 ,610.80 ,0.00 
연포탕,1000.00 ,541.19 ,21.64 ,0.00 ,9.20 ,91.65 ,366.68 ,1171.55 ,2307.07 ,2367.60 ,-,33.14 ,10.65 ,844.00 ,0.00 
오리탕,600.00 ,480.82 ,24.16 ,1.03 ,21.64 ,43.21 ,89.10 ,478.58 ,1849.93 ,810.86 ,-,7.43 ,5.20 ,161.70 ,0.00 
추어탕,700.00 ,338.67 ,24.42 ,1.81 ,11.51 ,37.37 ,1598.50 ,975.90 ,2077.15 ,906.87 ,-,24.70 ,6.80 ,298.48 ,0.00 
해물탕,600.00 ,272.26 ,19.58 ,1.55 ,3.38 ,41.74 ,233.74 ,554.88 ,2071.99 ,1218.54 ,-,8.02 ,7.88 ,350.22 ,0.00 
닭개장,700.00 ,317.07 ,19.18 ,0.00 ,14.95 ,33.74 ,87.85 ,388.18 ,1786.03 ,1057.87 ,-,5.37 ,4.73 ,96.90 ,0.00 
육개장,440.00 ,137.86 ,11.62 ,0.00 ,5.87 ,13.44 ,61.90 ,145.84 ,1112.78 ,719.33 ,-,4.13 ,2.05 ,24.23 ,0.00 
뼈해장국,1000.00 ,692.93 ,25.42 ,0.00 ,37.16 ,67.92 ,564.57 ,609.13 ,3192.46 ,1299.07 ,-,33.51 ,13.37 ,634.20 ,0.00 
미역오이냉국,450.00 ,77.35 ,19.74 ,8.99 ,1.35 ,5.61 ,214.70 ,209.88 ,1483.60 ,1520.12 ,-,2.77 ,1.22 ,0.00 ,0.00 
고등어찌개,600.00 ,605.31 ,32.03 ,0.00 ,28.20 ,59.16 ,185.01 ,768.30 ,2599.71 ,2013.06 ,-,8.45 ,4.23 ,206.64 ,0.00 
꽁치찌개,300.00 ,356.63 ,14.48 ,0.72 ,20.69 ,29.51 ,111.69 ,388.58 ,1296.33 ,705.67 ,-,4.25 ,1.82 ,84.48 ,0.00 
동태찌개,800.00 ,369.69 ,18.94 ,1.38 ,7.80 ,59.57 ,262.75 ,789.14 ,2487.54 ,1573.10 ,-,4.74 ,2.39 ,292.66 ,0.00 
부대찌개,600.00 ,525.98 ,46.81 ,0.00 ,28.48 ,27.71 ,140.65 ,344.39 ,2689.19 ,880.56 ,-,4.05 ,3.91 ,42.96 ,0.00 
된장찌개,400.00 ,147.06 ,15.98 ,0.00 ,5.27 ,11.71 ,112.69 ,194.76 ,2021.78 ,429.75 ,-,1.93 ,1.62 ,0.00 ,0.00 
청국장찌개,400.00 ,275.46 ,14.97 ,0.00 ,14.43 ,25.84 ,180.64 ,423.48 ,1839.75 ,947.12 ,-,4.94 ,4.38 ,36.00 ,0.00 
두부전골,500.00 ,315.11 ,16.20 ,0.86 ,19.15 ,29.15 ,365.91 ,441.10 ,1651.53 ,807.05 ,-,6.07 ,3.35 ,0.00 ,0.00 
곱창전골,600.00 ,532.65 ,26.89 ,0.00 ,34.73 ,38.35 ,331.71 ,536.76 ,1750.42 ,1145.13 ,-,8.70 ,5.29 ,230.70 ,0.00 
소고기전골,300.00 ,203.22 ,16.55 ,0.00 ,7.54 ,19.47 ,117.80 ,242.39 ,1090.15 ,690.67 ,-,4.07 ,5.31 ,31.80 ,0.00 
국수전골,400.00 ,643.16 ,66.93 ,4.00 ,22.39 ,45.29 ,81.60 ,392.16 ,1524.63 ,1539.30 ,-,10.98 ,5.10 ,81.60 ,0.00 
돼지고기김치찌개,400.00 ,246.29 ,9.33 ,0.00 ,18.26 ,15.50 ,136.71 ,235.53 ,1961.48 ,725.94 ,-,2.48 ,2.14 ,25.30 ,0.00 
버섯찌개,400.00 ,171.86 ,15.26 ,0.00 ,7.52 ,16.64 ,165.60 ,283.02 ,1267.81 ,735.96 ,-,3.95 ,2.38 ,0.00 ,0.00 
참치김치찌개,400.00 ,193.58 ,13.33 ,0.00 ,10.89 ,16.86 ,200.50 ,283.60 ,2604.45 ,795.12 ,-,4.38 ,1.72 ,35.44 ,0.00 
순두부찌개,400.00 ,198.47 ,8.78 ,0.00 ,14.03 ,14.72 ,135.17 ,218.60 ,1331.31 ,547.85 ,-,2.81 ,1.56 ,6.60 ,0.00 
콩비지찌개,400.00 ,248.66 ,24.52 ,0.00 ,12.81 ,15.96 ,136.41 ,146.02 ,1206.33 ,496.65 ,-,5.05 ,1.89 ,27.06 ,0.00 
햄김치찌개,300.00 ,190.47 ,15.44 ,0.00 ,10.68 ,11.63 ,116.53 ,220.24 ,1527.82 ,482.93 ,-,2.14 ,1.64 ,23.37 ,0.00 
호박찌개,300.00 ,98.30 ,12.74 ,2.06 ,2.34 ,7.78 ,194.84 ,234.99 ,1028.15 ,652.01 ,-,3.28 ,0.91 ,59.28 ,0.00 
고추장찌개,500.00 ,263.44 ,20.08 ,0.00 ,12.35 ,25.62 ,498.01 ,494.09 ,935.15 ,863.40 ,-,5.95 ,3.21 ,48.15 ,0.00 
대구찜,500.00 ,372.68 ,26.43 ,0.00 ,8.43 ,54.08 ,223.85 ,660.75 ,1888.04 ,1899.74 ,-,4.99 ,2.83 ,196.35 ,0.00 
도미찜,100.00 ,126.31 ,0.76 ,0.00 ,3.68 ,21.01 ,41.55 ,274.14 ,882.04 ,420.22 ,3.24 ,1.10 ,0.79 ,191.25 ,0.00 
문어숙회,80.00 ,67.49 ,0.18 ,0.00 ,0.73 ,14.14 ,28.32 ,171.46 ,222.83 ,273.75 ,-,0.91 ,1.46 ,116.74 ,0.00 
아귀찜,400.00 ,310.70 ,17.59 ,0.00 ,6.68 ,48.85 ,161.73 ,619.16 ,1463.31 ,1467.53 ,-,11.42 ,3.75 ,187.42 ,0.00 
조기찜,100.00 ,185.25 ,1.81 ,0.34 ,9.20 ,22.27 ,45.63 ,214.85 ,631.89 ,471.25 ,0.73 ,1.19 ,1.01 ,105.74 ,0.00 
참꼬막,80.00 ,89.77 ,4.92 ,1.60 ,2.17 ,12.98 ,101.70 ,212.15 ,400.23 ,329.75 ,-,6.13 ,2.17 ,46.99 ,0.00 
해물찜,500.00 ,397.38 ,36.02 ,0.00 ,8.94 ,50.28 ,264.59 ,657.53 ,2213.44 ,1440.41 ,-,16.39 ,5.54 ,323.98 ,0.00 
소갈비찜,250.00 ,500.45 ,11.31 ,0.00 ,29.17 ,42.55 ,22.99 ,385.49 ,768.42 ,749.09 ,-,3.65 ,9.21 ,141.83 ,0.00 
돼지갈비찜,170.10 ,249.70 ,8.82 ,1.76 ,14.42 ,20.57 ,30.95 ,243.75 ,946.68 ,391.57 ,-,1.10 ,2.69 ,70.38 ,0.00 
돼지고기수육,300.00 ,1218.19 ,8.69 ,0.00 ,99.52 ,61.47 ,66.90 ,483.60 ,389.53 ,769.52 ,-,3.65 ,8.62 ,191.40 ,0.00 
찜닭,1500.00 ,1358.38 ,140.64 ,57.52 ,36.54 ,114.90 ,232.94 ,703.36 ,5290.09 ,2290.16 ,-,9.75 ,7.53 ,341.64 ,0.00 
족발,150.00 ,381.57 ,32.30 ,0.00 ,16.62 ,26.02 ,38.29 ,165.47 ,839.14 ,338.54 ,-,2.69 ,1.58 ,98.00 ,0.00 
달걀찜,250.00 ,190.00 ,4.81 ,0.00 ,10.91 ,16.20 ,89.25 ,230.18 ,860.32 ,229.57 ,-,2.07 ,1.81 ,634.57 ,0.00 
닭갈비,300.00 ,562.10 ,24.54 ,3.51 ,28.89 ,52.30 ,99.26 ,502.20 ,975.55 ,1087.68 ,-,4.17 ,5.68 ,224.10 ,0.00 
닭꼬치,70.00 ,177.51 ,12.90 ,8.58 ,7.90 ,12.35 ,8.75 ,106.80 ,287.26 ,169.41 ,-,0.75 ,1.27 ,47.60 ,0.00 
돼지갈비,100.00 ,248.52 ,7.60 ,5.01 ,14.70 ,19.95 ,19.73 ,219.00 ,344.89 ,281.22 ,-,0.69 ,2.59 ,72.04 ,0.00 
떡갈비,250.00 ,762.99 ,26.61 ,12.49 ,51.58 ,43.09 ,26.18 ,411.76 ,838.84 ,915.68 ,-,3.26 ,8.66 ,157.50 ,0.00 
불고기,150.00 ,386.79 ,13.05 ,1.10 ,21.78 ,32.90 ,62.32 ,298.98 ,632.54 ,887.33 ,-,4.23 ,8.40 ,106.22 ,0.00 
소곱창구이,150.00 ,639.11 ,6.51 ,0.00 ,51.71 ,35.62 ,87.16 ,404.77 ,332.72 ,566.43 ,-,8.82 ,4.92 ,652.50 ,0.00 
소양념갈비구이,300.00 ,986.92 ,27.74 ,14.31 ,66.48 ,61.97 ,79.57 ,595.76 ,1272.34 ,1325.37 ,-,5.57 ,12.33 ,220.96 ,0.00 
소불고기,200.00 ,174.73 ,19.63 ,9.49 ,4.68 ,14.22 ,63.17 ,157.73 ,828.15 ,547.41 ,-,3.80 ,1.62 ,27.93 ,0.00 
양념왕갈비,150.00 ,485.51 ,15.04 ,8.35 ,33.71 ,29.33 ,44.42 ,335.30 ,533.19 ,451.08 ,-,1.31 ,3.90 ,103.50 ,0.00 
햄버거스테이크,200.00 ,436.75 ,21.35 ,0.00 ,28.05 ,24.92 ,60.60 ,258.45 ,920.26 ,787.00 ,-,2.88 ,4.69 ,75.78 ,0.00 
훈제오리,250.00 ,789.96 ,11.83 ,6.25 ,64.65 ,38.16 ,42.26 ,456.73 ,1216.98 ,694.04 ,-,4.50 ,3.46 ,200.25 ,0.00 
치킨데리야끼,340.00 ,692.52 ,50.73 ,3.64 ,32.19 ,47.34 ,66.13 ,501.22 ,865.98 ,785.04 ,-,3.59 ,6.07 ,171.25 ,0.00 
치킨윙,100.00 ,219.42 ,9.97 ,2.45 ,14.23 ,11.41 ,11.71 ,72.63 ,351.39 ,113.24 ,1.75 ,1.00 ,0.77 ,66.00 ,0.00 
더덕구이,100.00 ,183.74 ,31.78 ,10.85 ,5.62 ,5.80 ,37.64 ,151.08 ,745.78 ,326.30 ,3.30 ,2.81 ,0.37 ,0.00 ,0.00 
양배추구이,100.00 ,60.93 ,7.62 ,0.84 ,2.65 ,2.71 ,32.21 ,45.84 ,242.34 ,235.39 ,16.30 ,0.72 ,0.58 ,5.50 ,0.00 
두부구이,100.00 ,90.67 ,1.53 ,0.00 ,6.27 ,9.41 ,127.72 ,142.36 ,164.39 ,97.26 ,0.40 ,1.54 ,1.02 ,0.00 ,0.00 
삼치구이,200.00 ,355.71 ,8.48 ,0.00 ,18.01 ,37.83 ,103.74 ,456.84 ,797.71 ,909.32 ,-,2.74 ,2.22 ,156.87 ,0.00 
가자미전,150.00 ,220.46 ,6.68 ,0.00 ,7.12 ,29.97 ,59.60 ,279.48 ,814.37 ,495.98 ,-,1.29 ,0.91 ,226.88 ,0.00 
굴전,100.00 ,192.81 ,13.92 ,0.00 ,9.07 ,12.56 ,95.58 ,200.07 ,331.02 ,254.43 ,23.81 ,3.30 ,10.21 ,123.00 ,0.00 
동태전,150.00 ,265.25 ,11.48 ,0.00 ,16.14 ,19.87 ,61.99 ,256.21 ,672.98 ,379.06 ,-,0.78 ,0.63 ,134.56 ,0.00 
해물파전,150.00 ,267.23 ,27.68 ,0.00 ,12.57 ,12.94 ,111.80 ,186.88 ,356.43 ,530.49 ,-,6.87 ,1.36 ,96.84 ,0.00 
동그랑땡,150.00 ,312.41 ,14.71 ,0.00 ,18.72 ,19.67 ,74.16 ,221.89 ,579.81 ,373.69 ,-,2.00 ,2.10 ,184.28 ,0.00 
햄부침,100.00 ,232.60 ,9.73 ,0.00 ,15.48 ,13.07 ,7.38 ,249.97 ,774.68 ,191.62 ,2.35 ,0.72 ,0.89 ,52.15 ,0.00 
육전,100.00 ,197.10 ,6.72 ,0.30 ,9.51 ,19.58 ,13.14 ,173.22 ,248.68 ,338.32 ,3.40 ,1.96 ,3.56 ,91.50 ,0.00 
감자전,200.00 ,366.16 ,53.81 ,0.00 ,13.61 ,9.67 ,15.20 ,192.32 ,456.53 ,1343.65 ,-,1.95 ,1.49 ,0.00 ,0.00 
고추전,150.00 ,261.44 ,17.78 ,0.75 ,14.86 ,13.94 ,31.39 ,161.88 ,359.88 ,415.82 ,-,1.83 ,2.30 ,160.65 ,0.00 
김치전,150.00 ,285.73 ,32.07 ,0.00 ,12.48 ,13.17 ,83.95 ,214.22 ,785.60 ,529.60 ,-,2.47 ,1.93 ,136.00 ,0.00 
깻잎전,150.00 ,357.62 ,16.65 ,0.75 ,24.64 ,18.30 ,107.69 ,199.83 ,464.94 ,503.93 ,-,2.74 ,3.16 ,171.38 ,0.00 
녹두빈대떡,100.00 ,200.71 ,18.64 ,0.00 ,8.32 ,9.96 ,39.67 ,161.97 ,246.03 ,391.53 ,15.10 ,1.69 ,1.02 ,13.75 ,0.00 
미나리전,150.00 ,215.86 ,30.10 ,0.00 ,8.63 ,6.09 ,39.09 ,103.04 ,235.65 ,598.81 ,-,3.24 ,0.65 ,28.50 ,0.00 
배추전,150.00 ,241.01 ,32.51 ,0.00 ,10.49 ,6.41 ,95.90 ,104.30 ,355.98 ,618.44 ,-,1.76 ,1.21 ,30.40 ,0.00 
버섯전,150.00 ,239.68 ,18.61 ,0.75 ,12.93 ,11.93 ,38.04 ,132.54 ,307.92 ,291.02 ,-,2.54 ,1.49 ,126.08 ,0.00 
부추전,150.00 ,241.18 ,32.01 ,0.00 ,9.50 ,7.14 ,30.77 ,68.12 ,255.16 ,405.66 ,-,2.46 ,0.52 ,7.13 ,0.00 
야채전,100.00 ,194.94 ,24.97 ,0.00 ,8.78 ,4.95 ,31.17 ,77.60 ,322.92 ,436.24 ,20.51 ,1.30 ,0.62 ,23.75 ,0.00 
파전,150.00 ,280.55 ,37.46 ,0.00 ,12.04 ,7.73 ,87.60 ,118.32 ,338.00 ,481.77 ,-,1.91 ,0.90 ,57.00 ,0.00 
호박부침개,100.00 ,130.72 ,8.67 ,0.00 ,9.24 ,3.37 ,13.60 ,40.50 ,172.03 ,192.72 ,3.81 ,0.62 ,0.30 ,61.75 ,0.00 
호박전,150.00 ,215.28 ,16.56 ,0.00 ,14.42 ,6.59 ,48.65 ,95.99 ,274.63 ,669.09 ,-,1.65 ,0.86 ,106.88 ,0.00 
달걀말이,100.00 ,172.24 ,4.67 ,0.00 ,11.23 ,12.04 ,49.64 ,169.30 ,323.32 ,200.88 ,13.20 ,1.57 ,1.39 ,475.00 ,0.00 
두부부침,100.00 ,134.88 ,4.29 ,0.00 ,8.76 ,9.92 ,131.04 ,150.14 ,199.83 ,119.91 ,1.46 ,1.64 ,1.07 ,0.00 ,0.00 
두부전,150.00 ,253.89 ,8.08 ,0.00 ,18.03 ,18.66 ,227.92 ,274.75 ,500.53 ,186.62 ,-,2.92 ,1.97 ,66.50 ,0.00 
건새우볶음,20.00 ,69.19 ,4.81 ,2.70 ,2.30 ,7.22 ,259.68 ,143.34 ,193.09 ,105.61 ,-,0.62 ,0.93 ,74.40 ,0.00 
낙지볶음,200.00 ,180.59 ,23.51 ,6.70 ,3.00 ,17.87 ,86.24 ,255.66 ,868.88 ,763.14 ,-,2.50 ,3.02 ,135.20 ,0.00 
멸치볶음,20.00 ,69.23 ,5.69 ,3.43 ,2.04 ,6.97 ,138.09 ,157.86 ,274.10 ,204.09 ,-,0.93 ,0.28 ,83.55 ,0.00 
어묵볶음,150.00 ,281.54 ,36.28 ,4.47 ,8.08 ,18.04 ,120.59 ,167.69 ,1283.83 ,459.18 ,-,2.32 ,1.32 ,18.90 ,0.00 
오징어볶음,200.00 ,243.70 ,27.42 ,9.28 ,6.84 ,20.43 ,94.34 ,294.84 ,1025.86 ,822.24 ,-,2.88 ,2.48 ,198.00 ,0.00 
오징어채볶음,20.00 ,55.71 ,7.00 ,1.35 ,0.69 ,5.39 ,6.23 ,64.82 ,240.96 ,50.89 ,-,0.28 ,0.41 ,50.05 ,0.00 
주꾸미볶음,200.00 ,211.81 ,21.69 ,6.70 ,6.11 ,20.16 ,88.04 ,278.06 ,969.88 ,699.04 ,-,3.67 ,3.32 ,385.60 ,0.00 
해물볶음,400.00 ,420.53 ,36.53 ,7.66 ,15.32 ,37.48 ,148.98 ,522.01 ,1647.02 ,1158.85 ,-,14.84 ,4.23 ,376.20 ,0.00 
감자볶음,50.00 ,57.80 ,8.23 ,0.50 ,2.53 ,1.34 ,10.63 ,33.28 ,219.94 ,254.61 ,-,0.39 ,0.30 ,0.00 ,0.00 
김치볶음,200.00 ,189.97 ,21.83 ,8.96 ,12.13 ,5.29 ,116.21 ,150.16 ,1513.41 ,766.98 ,-,2.12 ,1.27 ,0.00 ,0.00 
깻잎나물볶음,200.00 ,212.39 ,17.33 ,0.20 ,16.37 ,8.03 ,670.52 ,172.55 ,1046.43 ,933.81 ,-,5.58 ,1.40 ,5.20 ,0.00 
느타리버섯볶음,150.00 ,133.32 ,14.22 ,0.15 ,8.93 ,4.41 ,21.59 ,98.74 ,625.25 ,530.39 ,-,1.13 ,1.55 ,0.00 ,0.00 
두부김치,250.00 ,292.42 ,13.84 ,0.00 ,21.32 ,19.15 ,153.45 ,311.65 ,1033.85 ,740.55 ,-,4.38 ,3.14 ,30.00 ,0.00 
머위나물볶음,150.00 ,102.99 ,7.71 ,0.00 ,7.95 ,4.30 ,101.09 ,94.61 ,696.92 ,529.54 ,-,2.56 ,0.44 ,0.00 ,0.00 
양송이버섯볶음,150.00 ,132.42 ,10.55 ,0.00 ,9.79 ,5.46 ,33.02 ,161.61 ,520.11 ,856.38 ,-,2.51 ,1.30 ,0.00 ,0.00 
표고버섯볶음,150.00 ,143.60 ,14.28 ,1.49 ,7.36 ,4.01 ,31.77 ,67.16 ,563.59 ,512.86 ,-,2.43 ,0.85 ,0.00 ,0.00 
고추잡채,200.00 ,264.22 ,22.11 ,8.45 ,12.71 ,12.86 ,54.82 ,219.04 ,850.31 ,561.56 ,-,2.83 ,2.15 ,50.80 ,0.00 
호박볶음,50.00 ,29.19 ,3.09 ,0.00 ,2.01 ,0.77 ,10.37 ,20.39 ,223.28 ,135.05 ,-,0.37 ,0.17 ,0.07 ,0.00 
돼지고기볶음,200.00 ,353.13 ,15.33 ,4.75 ,20.94 ,25.75 ,32.86 ,402.25 ,1060.33 ,457.95 ,-,3.94 ,4.54 ,84.00 ,0.00 
돼지껍데기볶음,150.00 ,346.14 ,22.73 ,15.84 ,19.23 ,22.39 ,29.84 ,72.08 ,759.29 ,267.06 ,-,2.28 ,1.24 ,95.40 ,0.00 
소세지볶음,200.00 ,476.04 ,28.81 ,5.83 ,33.24 ,17.04 ,27.46 ,260.35 ,1409.05 ,495.96 ,-,2.50 ,2.22 ,56.26 ,0.00 
순대볶음,400.00 ,579.56 ,70.96 ,14.29 ,25.61 ,17.58 ,271.54 ,265.92 ,1379.55 ,1048.02 ,-,8.10 ,4.43 ,189.92 ,0.00 
오리불고기,250.00 ,559.93 ,24.47 ,4.07 ,34.25 ,38.16 ,66.06 ,420.21 ,854.07 ,1004.86 ,-,5.80 ,4.84 ,124.82 ,0.00 
오삼불고기,200.00 ,356.94 ,21.46 ,7.42 ,20.24 ,23.35 ,77.92 ,307.85 ,870.40 ,635.00 ,-,2.21 ,2.78 ,164.30 ,0.00 
