age,kcal,carbohydrate_RNI,protein_RNI,calcium_RNI,phosphorus_RNI,phosphorus_UL,natrium_AI,natrium_UL,kalium_AI,magnesium_RNI,iron_RNI,iron_UL,zinc_RNI,zinc_UL,cholesterol_UL
1~2,900,130,20,500,450,3000,810,1200,1900,70,6,40,3,6,-
3~5,1400,130,25,600,550,3000,1000,1600,2400,110,7,40,4,9,-
6~8,1700,130,35,700,600,3000,1200,1900,2900,150,9,40,5,13,-
9~11,2000,130,50,800,1200,3500,1500,2300,3400,220,11,40,8,19,-
12~14,2500,130,60,1000,1200,3500,1500,2300,3500,320,14,40,8,27,-
15~18,2700,130,65,900,1200,3500,1500,2300,3500,410,14,45,10,33,-
19~29,2600,130,65,800,700,3500,1500,2300,3500,360,10,45,10,35,300
30~49,2500,130,65,800,700,3500,1500,2300,3500,370,10,45,10,35,300
50~64,2200,130,60,750,700,3500,1500,2300,3500,370,10,45,10,35,300
65~74,2000,130,60,700,700,3500,1300,2100,3500,370,9,45,9,35,300
75~,1900,130,60,700,700,3000,1100,1700,3500,370,9,45,9,35,300